userid,workshop
89889e7d464da357abdbd78e5e8e16d7,Data Science: Start Here
89889e7d464da357abdbd78e5e8e16d7,Getting a Job in Data Science
86f8b76366a0386242b28812eb4e4033,Hacking Unsupervised Clustering Algorithms
81ed4c5e3200827a050e1cdc8300888b,Getting a Job in Data Science
81d49540ddee8d27829e833948463bb1,Convolutional Neural Networks & Semantic Segmentation
81d49540ddee8d27829e833948463bb1,Hacking Unsupervised Clustering Algorithms
81d49540ddee8d27829e833948463bb1,Natural Language Processing
81d49540ddee8d27829e833948463bb1,Model Interpretability
808dc4e3f1546a46cdd135b000ced0dd,Data Science: Start Here
803ae5c3cb34a3375974a160120be047,Data Science: Start Here
7a7a932e72ee1dd879fc4de1c60c9ce0,Data Science: Start Here
6759839e419c856dbb67de0f2e83eb13,Convolutional Neural Networks & Semantic Segmentation
6759839e419c856dbb67de0f2e83eb13,Getting a Job in Data Science
6759839e419c856dbb67de0f2e83eb13,Natural Language Processing
6542343540b8b98253097a17cc397ab6,Data Science: Start Here
6542343540b8b98253097a17cc397ab6,Getting a Job in Data Science
5c33c147bc170d104dab642f24c280a4,Convolutional Neural Networks & Semantic Segmentation
5c33c147bc170d104dab642f24c280a4,Getting a Job in Data Science
5c33c147bc170d104dab642f24c280a4,Hacking Unsupervised Clustering Algorithms
5c33c147bc170d104dab642f24c280a4,Natural Language Processing
5bdd16c3b5ad5dfc72319f2cefd68c02,Getting a Job in Data Science
5aa0011667d9230fa3e164958d564076,Story Telling With Data
5aa0011667d9230fa3e164958d564076,Getting a Job in Data Science
55307c7ece1398598c923b6f8a583634,Model Interpretability
53b6fd359f808b08c1cc79a3645cea7d,Data Science: Start Here
51e67c87c0ca58e05d189ce35f0d5d41,Data Science: Start Here
51e67c87c0ca58e05d189ce35f0d5d41,Getting a Job in Data Science
51e67c87c0ca58e05d189ce35f0d5d41,Natural Language Processing
51c877645871c883837771f6f767b01b,Hacking Unsupervised Clustering Algorithms
51c877645871c883837771f6f767b01b,Natural Language Processing
504a92cc196332b693a226920e0ad81a,Data Science: Start Here
504a92cc196332b693a226920e0ad81a,Getting a Job in Data Science
504a92cc196332b693a226920e0ad81a,Machine Learning: Start Here
4ef289c2a1bfa81a15d7c6718e986f04,Hacking Unsupervised Clustering Algorithms
4ef289c2a1bfa81a15d7c6718e986f04,Natural Language Processing
4b20c182f4727f9008a3b765d9f9c292,Data Science: Start Here
4b20c182f4727f9008a3b765d9f9c292,Getting a Job in Data Science
4b20c182f4727f9008a3b765d9f9c292,Hacking Unsupervised Clustering Algorithms
471be1149ae3d541b1b6f6d4aecce5d8,Data Science: Start Here
471be1149ae3d541b1b6f6d4aecce5d8,Getting a Job in Data Science
471be1149ae3d541b1b6f6d4aecce5d8,Machine Learning: Start Here
3e47bdc35f4db9ebfad1575774eb2d00,Getting a Job in Data Science
3e47bdc35f4db9ebfad1575774eb2d00,Hacking Unsupervised Clustering Algorithms
3b9722f223319cbdd89e7549da1a4599,Convolutional Neural Networks & Semantic Segmentation
3b9722f223319cbdd89e7549da1a4599,Getting a Job in Data Science
3b9722f223319cbdd89e7549da1a4599,Hacking Unsupervised Clustering Algorithms
3b9722f223319cbdd89e7549da1a4599,Natural Language Processing
3b6faa7a86273f99f51deeb8137445a6,Data Science: Start Here
3b6faa7a86273f99f51deeb8137445a6,Getting a Job in Data Science
363dbd42c64ad12579ff63f47e5db389,Data Science: Start Here
363dbd42c64ad12579ff63f47e5db389,Getting a Job in Data Science
360757e3a30ca67f1c67caba3932afb7,Story Telling With Data
360757e3a30ca67f1c67caba3932afb7,Convolutional Neural Networks & Semantic Segmentation
360757e3a30ca67f1c67caba3932afb7,Data Science: Start Here
360757e3a30ca67f1c67caba3932afb7,Getting a Job in Data Science
360757e3a30ca67f1c67caba3932afb7,Natural Language Processing
360757e3a30ca67f1c67caba3932afb7,Model Interpretability
2ff1341ca58c8c8fa7f1e806b9de87b3,Data Science: Start Here
2ff1341ca58c8c8fa7f1e806b9de87b3,Getting a Job in Data Science
2fc3cec9363df624b27a83874205f66d,Data Science: Start Here
2fc3cec9363df624b27a83874205f66d,Getting a Job in Data Science
2e49bd7851ab0aa7d09c665cc1ffd2a5,Data Science: Start Here
2e49bd7851ab0aa7d09c665cc1ffd2a5,Machine Learning: Start Here
2b6e77d2a3eea3cadd5a6f23c3fb1f24,Story Telling With Data
2b6e77d2a3eea3cadd5a6f23c3fb1f24,Convolutional Neural Networks & Semantic Segmentation
2b6e77d2a3eea3cadd5a6f23c3fb1f24,Getting a Job in Data Science
2b6e77d2a3eea3cadd5a6f23c3fb1f24,Natural Language Processing
2b6e77d2a3eea3cadd5a6f23c3fb1f24,Model Interpretability
2b61969d0eb0b92953a46ea78f8c5f2f,Story Telling With Data
2b61969d0eb0b92953a46ea78f8c5f2f,Convolutional Neural Networks & Semantic Segmentation
2b61969d0eb0b92953a46ea78f8c5f2f,Data Science: Start Here
2b61969d0eb0b92953a46ea78f8c5f2f,Hacking Unsupervised Clustering Algorithms
2b61969d0eb0b92953a46ea78f8c5f2f,Natural Language Processing
2b61969d0eb0b92953a46ea78f8c5f2f,Machine Learning: Start Here
2b61969d0eb0b92953a46ea78f8c5f2f,Model Interpretability
2ad7dfd6569a9f97a20aa8b8bd574521,Getting a Job in Data Science
265d2da651c6b29d8d809cc1923deef7,Data Science: Start Here
23b3faf851a263067d6f3f76521936d6,Data Science: Start Here
23b3faf851a263067d6f3f76521936d6,Getting a Job in Data Science
23b3faf851a263067d6f3f76521936d6,Natural Language Processing
23b3faf851a263067d6f3f76521936d6,Machine Learning: Start Here
20f0d962ce2f7730703a97067f594d8a,Data Science: Start Here
1fc28cdb4862b964bc001a34dbd93387,Story Telling With Data
1fc28cdb4862b964bc001a34dbd93387,Convolutional Neural Networks & Semantic Segmentation
1fc28cdb4862b964bc001a34dbd93387,Getting a Job in Data Science
1fc28cdb4862b964bc001a34dbd93387,Hacking Unsupervised Clustering Algorithms
1fc28cdb4862b964bc001a34dbd93387,Natural Language Processing
1dcd2e20f44ef4d10f271fca4419ee33,Convolutional Neural Networks & Semantic Segmentation
1dcd2e20f44ef4d10f271fca4419ee33,Hacking Unsupervised Clustering Algorithms
1dcd2e20f44ef4d10f271fca4419ee33,Machine Learning: Start Here
1aa72b530030075c926e3f1ff03e4ec1,Story Telling With Data
1aa72b530030075c926e3f1ff03e4ec1,Machine Learning: Start Here
1a7093bb99fb14b3ad256da3c7122b93,Getting a Job in Data Science
1952f2b0a237e54ca780cba5efe3091a,Data Science: Start Here
16fd5d5c0d132a5d134cf4f4c28a9167,Data Science: Start Here
16fd5d5c0d132a5d134cf4f4c28a9167,Getting a Job in Data Science
0ea0189454c4f40310c3aaa7137274cd,Convolutional Neural Networks & Semantic Segmentation
0ea0189454c4f40310c3aaa7137274cd,Hacking Unsupervised Clustering Algorithms
0ea0189454c4f40310c3aaa7137274cd,Natural Language Processing
05a26ed7331cd931304a40648798804b,Convolutional Neural Networks & Semantic Segmentation
05a26ed7331cd931304a40648798804b,Data Science: Start Here
05a26ed7331cd931304a40648798804b,Getting a Job in Data Science
05a26ed7331cd931304a40648798804b,Hacking Unsupervised Clustering Algorithms
05a26ed7331cd931304a40648798804b,Natural Language Processing
05a26ed7331cd931304a40648798804b,Machine Learning: Start Here
058b243e2386b77f25bd88e766c50693,Getting a Job in Data Science
01f29f276ff853dbdb97fdd7e3007d73,Data Science: Start Here
01f29f276ff853dbdb97fdd7e3007d73,Getting a Job in Data Science
011c08999895a8a06f6e7f0e23b066b9,Data Science: Start Here
011c08999895a8a06f6e7f0e23b066b9,Getting a Job in Data Science
011c08999895a8a06f6e7f0e23b066b9,Machine Learning: Start Here
011c08999895a8a06f6e7f0e23b066b9,Model Interpretability
002314e62544dcb65e08d3483c4ffa75,Hacking Unsupervised Clustering Algorithms
